Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,state,Zipcode,State,Poverty Rate
ZCTA5 01832,57833.0,22121.0,38.5,29014.0,2412.0,25,01832,Massachusetts,10.9036661995389
ZCTA5 01833,107775.0,8295.0,42.4,43297.0,191.0,25,01833,Massachusetts,2.3025919228450875
ZCTA5 01834,97463.0,6675.0,46.1,40222.0,146.0,25,01834,Massachusetts,2.1872659176029963
ZCTA5 01835,72228.0,13527.0,37.1,31429.0,1153.0,25,01835,Massachusetts,8.523693354032675
ZCTA5 01840,18261.0,4547.0,36.8,14758.0,1798.0,25,01840,Massachusetts,39.54255553111942
ZCTA5 01841,31214.0,47676.0,29.6,15117.0,14334.0,25,01841,Massachusetts,30.0654417316889
ZCTA5 01843,42891.0,24597.0,32.6,21024.0,6018.0,25,01843,Massachusetts,24.46639834126113
ZCTA5 01844,67556.0,47690.0,39.9,30520.0,4022.0,25,01844,Massachusetts,8.43363388551059
ZCTA5 01845,96002.0,28677.0,41.0,46788.0,1499.0,25,01845,Massachusetts,5.227185549394986
ZCTA5 01850,51538.0,15496.0,32.0,22503.0,3095.0,25,01850,Massachusetts,19.972896231285493
ZCTA5 01851,51630.0,29791.0,33.5,22714.0,4903.0,25,01851,Massachusetts,16.457990668322648
ZCTA5 01852,48951.0,33106.0,35.6,26878.0,5632.0,25,01852,Massachusetts,17.012021989971608
ZCTA5 01854,42947.0,29073.0,29.6,19646.0,6040.0,25,01854,Massachusetts,20.7752897877756
ZCTA5 01860,79423.0,6440.0,43.5,36605.0,184.0,25,01860,Massachusetts,2.857142857142857
ZCTA5 01862,85497.0,10992.0,39.0,30074.0,607.0,25,01862,Massachusetts,5.522197962154294
ZCTA5 01863,81160.0,9526.0,40.5,37573.0,714.0,25,01863,Massachusetts,7.495276086500105
ZCTA5 01864,110852.0,15076.0,42.4,45031.0,721.0,25,01864,Massachusetts,4.782435659326081
ZCTA5 01867,105524.0,24524.0,41.8,47036.0,417.0,25,01867,Massachusetts,1.7003751427173381
ZCTA5 01876,90897.0,28778.0,43.4,39980.0,890.0,25,01876,Massachusetts,3.0926402112724998
ZCTA5 01879,90987.0,11675.0,42.1,40920.0,691.0,25,01879,Massachusetts,5.918629550321199
ZCTA5 01880,84556.0,25116.0,42.1,40379.0,975.0,25,01880,Massachusetts,3.8819875776397517
ZCTA5 01886,124464.0,22458.0,42.4,49341.0,411.0,25,01886,Massachusetts,1.8300828212663638
ZCTA5 01887,99508.0,22656.0,41.7,37424.0,530.0,25,01887,Massachusetts,2.3393361581920904
ZCTA5 01890,131000.0,21621.0,42.5,64385.0,719.0,25,01890,Massachusetts,3.3254706072799594
ZCTA5 01901,23467.0,2023.0,42.8,20625.0,569.0,25,01901,Massachusetts,28.126544735541277
ZCTA5 01902,37275.0,44827.0,32.0,20391.0,10625.0,25,01902,Massachusetts,23.70223302920115
ZCTA5 01904,80903.0,18803.0,40.6,33409.0,1040.0,25,01904,Massachusetts,5.531032282082647
ZCTA5 01905,42490.0,25090.0,32.4,19934.0,6680.0,25,01905,Massachusetts,26.624153049023516
ZCTA5 01906,76339.0,27051.0,44.9,34350.0,1341.0,25,01906,Massachusetts,4.957302872352224
ZCTA5 01907,92399.0,14086.0,44.0,48336.0,660.0,25,01907,Massachusetts,4.685503336646316
ZCTA5 01908,66964.0,3432.0,49.7,45464.0,99.0,25,01908,Massachusetts,2.8846153846153846
ZCTA5 01913,78486.0,16429.0,41.3,38659.0,892.0,25,01913,Massachusetts,5.429423580254428
ZCTA5 01915,70563.0,40026.0,39.8,37554.0,3185.0,25,01915,Massachusetts,7.957327736970969
ZCTA5 01921,125833.0,8040.0,45.6,58734.0,70.0,25,01921,Massachusetts,0.8706467661691543
ZCTA5 01922,109301.0,3025.0,44.4,40983.0,66.0,25,01922,Massachusetts,2.1818181818181817
ZCTA5 01923,79478.0,26810.0,43.0,38281.0,1377.0,25,01923,Massachusetts,5.136143230138008
ZCTA5 01929,74211.0,3546.0,45.4,42259.0,124.0,25,01929,Massachusetts,3.496897913141568
ZCTA5 01930,61449.0,29043.0,47.1,35928.0,2931.0,25,01930,Massachusetts,10.09193265158558
ZCTA5 01937,-666666666.0,89.0,72.1,29602.0,44.0,25,01937,Massachusetts,49.438202247191015
ZCTA5 01938,77087.0,13354.0,48.1,43021.0,674.0,25,01938,Massachusetts,5.047176875842444
ZCTA5 01940,106239.0,12299.0,44.4,46227.0,260.0,25,01940,Massachusetts,2.1139930075615903
ZCTA5 01944,115650.0,5185.0,48.3,70075.0,301.0,25,01944,Massachusetts,5.8052073288331725
ZCTA5 01945,98399.0,19958.0,44.7,58082.0,1074.0,25,01945,Massachusetts,5.381300731536226
ZCTA5 01949,104245.0,9131.0,41.1,39115.0,283.0,25,01949,Massachusetts,3.0993319461176214
ZCTA5 01950,78638.0,17569.0,46.3,46124.0,1446.0,25,01950,Massachusetts,8.230405828447834
ZCTA5 01951,81106.0,3707.0,49.2,42632.0,266.0,25,01951,Massachusetts,7.175613703803615
