STATE,Pregnancies,Deaths
Alabama,231884,96
Arizona,315286,99
Arkansas,144827,63
California,1742574,176
Colorado,250000,38
Connecticut,137724,23
Florida,866920,228
Georgia,498525,169
Illinois,549132,95
Indiana,321543,100
Iowa,148514,30
Kansas,140909,31
Kentucky,210937,81
Louisiana,233333,91
Maryland,278301,59
Massachusetts,274509,42
Michigan,427835,83
Minnesota,261904,33
Mississippi,144186,62
Missouri,284046,73
Nebraska,99236,26
Nevada,138248,30
New Jersey,400778,103
New Mexico,89403,27
New York,866359,188
North Carolina,475471,126
Ohio,529411,126
Oklahoma,194719,59
Oregon,164634,27
Pennsylvania,532934,89
South Carolina,226299,74
Tennessee,321342,134
Texas,1498220,421
Utah,186335,30
Virginia,388316,113
Washington,338235,69
Wisconsin,250000,29
United States,14800000,3478
